id,message,label
53,"서초 메가스터디 기숙학원 변경 안내
[Web발신]
(광고) [메가스터디학원]

안녕하세요.
지난 2016년 개원한 서초 메가스터디 기숙학원은 
따뜻하지만 엄격한 관리, 
재원생의 높은 학원 만족도,
졸업생의 놀라운 성적 향상률과 함께 
매년 대입성공의 결실을 맺어온 아름다운 공간이었으며, 수많은 학생과 학부모님의 지지와 사랑으로 눈부신 성장을 거듭하였습니다.

▶ 2016년: 양지 메가스터디 기숙학원(신관) 개원
▶ 2017년: 서초 메가스터디 기숙학원 자연계열 전문관 학원명 변경
▶ 2019년: 서초 메가스터디 기숙학원 자연계열 전문관 확장
▶ 2023년: 서초 메가스터디 기숙학원 의대관 학원명 변경

★ 최근 5개년 의치한약수+SKY 734명 합격자 배출 ★

우리 학원은 늘 새로운 변화를 고민하였고 기존 서초 메가스터디 기숙학원의 전통과 시스템을 그대로 유지하며, 메가스터디의 고급화/차별화된 '러셀' 브랜드를 더해 [자연계 전문관 러셀 기숙학원]으로 명칭을 변경합니다. 

따뜻하게 보살피겠습니다. 
열심히 공부시키겠습니다. 

그리고
늘 학생들의 건강과 목표 대학 합격을 위해 노력하겠습니다. 
감사합니다.

▶ 자연계 전문관 바로가기: https://alie.kr/4bh1xOC
▶ 2026 우선반: https://alie.kr/AljYHyt
▶ 장학제도 바로가기: https://alie.kr/2fchGPZ

『자연계 전문관 러셀 기숙학원』
☎ 031-797-9332


무료수신거부 080-863-5755",0
54,"[무료!] 수능 직전 마지막 수학 실력 점검!
[Web발신]
(광고) [메가스터디학원]

[ 수 모의고사 무료체험 프로모션 ]

코앞으로 다가온 수능!
‘수능 직전 마지막’으로 나의 수학 실력을 점검할 수 있는 절호의 기회!
무료체험 응시로 수능 수학 1등급을 완성하세요!

응시생들이 극찬한 수 모의고사!!
시험 응시료 전액 무료!

◎ 무료 체험 예약하기
☞ https://vo.la/PDMJtc

▶ 대상: 2025 대입에 도전하는 수험생 (고3, N수생)
▶ 일시: 10월 19일(토) 오전 10시 30분
- 시험 시간: 오전 10시 30분~오후 12시 10분
- 시험 과목: 수학 (공통/선택 과목 모두 응시 가능)
▶ 장소: 서울·경기지역 메가스터디 직영 재수 통학학원

※ 오전 10시 15분까지 입실해 주시기 바랍니다.

무료수신거부 080-863-5755",0
55,"[Web발신]
(★기한연장 ~1/30)
[숙명여대 학사팀] 수기공모 '2024 나를 위한 선택, 집중학기제' 개최

★참여율이 다소 저조하여 접수 마감기한을 연장합니다.
설 연휴 동안 가벼운 마음으로 작성해주시면 감사하겠습니다.

학사팀에서 집중학기제 수기 공모를 시행하고 있으니 학생 여러분의 많은 참여 부탁드립니다.

1. 참여 대상: 2024학년도 집중학기 과목 수강생 전원

2. 상품: 우수 수기 선발하여 5만원 상당 스타벅스 기프티콘 증정

3. 공모 내용: 본인이 수강한 집중학기제 과목을 학업계획 내에서 어떻게 활용하였는지, 혹은 어떻게 활용할 계획인지를 포함하여 A4 2장 이상 수기 작성

(★심사요소 및 작성 조건, 양식 등 상세 내용은 아래 공지 확인
https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1189996)

4. 제출 마감기한: 2025. 1. 30.(목) 24:00까지(기한 연장)

5. 제출처: haksa@sm.ac.kr

6. 문의처
02-710-9439
ptibookdog@sookmyung.ac.kr

※접수된 수기는 유연학기제 개선을 위한 내부자료로서 활용됩니다.",0
56,"(광고)[BC카드] 수원 금호 리첸시아 퍼스티지 분양 안내
[Web발신]
(광고)[BC카드] 수원84타입 분양 입주 안내

회원님, 안녕하세요.
고색지구 시범단지인 <수원 금호 리첸시아 퍼스티지>에서
계약자 분들께 선착순 1억 3천만원 입주지원 혜택을 안내드립니다.

12가지 풀옵션빌트인 무상제공 
덕산병원준공 최고의 입지로 내집마련 
성공의 길잡이가 되어드리겠습니다.
(즉시 입주 가능)
 
■ 홈페이지 바로가기(방문 예약하기)
https://bit.ly/3Yqr8wI
 
■ 모델하우스 방문 이벤트
- 기간 : 2025년 1월 한달간
- 대상 : 해당 문자를 받으신 고객님
- 혜택1 :  롤화장지12개들이셋트+신라면묶음 100%증정
- 혜택2 :  예약 방문시 신세계상품권 2만(부부3만)100%지급
 
■ 주거 가치를 높이는 프리미엄 6
① 미래 가치 : 다양한 개발 호재를 지닌 제2의광교 고색지구
② 빠른 광역 교통망 : 수원역GTX-C(예정) ~ 삼성역 약 30분 소요로 삶의 질 향상에 기여
③ 도보 학세권 : 고색초/중/고등학교(안전한 등하교)
④ 쾌적한 숲세권 : 문화 근린 공원(예정), 황구지천 산책로, 서울대학교 수원 수목원 등
⑤ 안전한 병세권 : 서수원 최대 규모 706병상 수원덕산병원(2025년 12월 준공 예정)
⑥ 풍부한 인프라 : 권선행정타운, 델타플렉스, 탑동이노베이션 직주 근접
 
■ <수원 금호 리첸시아 퍼스트지> 특장점
- 정계약금 2천만원(입주시까지)
- 즉시입주가능
- 실입주금 6~7천만원대
- 수원에서 마지막 4~5억원대
- 스트레스DSR미적용 담보대출 최대80%가능(저신용 가능)
- 합리적인 가격,  입주지원금 1억3000만지급(상환필요없음)
- 계약시 12종 무상 풀옵션 제공(천장형시스템4대 ,삼성 비스포크 4도어 냉장고, 삼성 비스포크 김치냉장고 외10종)

■ 문의
수원 금호 리첸시아 퍼스티지 1544-1867

※ BC카드는 광고만을 대행하며, 자세한 사항은 광고 문의전화 또는 URL 을 통해 확인해 주세요.

▶준법감시인 2024-2393호(2024.12.27~2025.1.26)
-무료수신거부 : 080-780-9548",0
57,"제목없음
[Web발신]
[멜론티켓 개인정보 수집 출처 안내]

안녕하세요, (주)카카오엔터테인먼트(멜론티켓)입니다. 개인정보보호법 제20조(정보주체 이외로부터 수집한 개인정보의 수집 출처 등 고지) 제2항에 따라 회원님의 개인정보 수집 출처를 아래와 같이 안내 드립니다.

개인정보의 수집 출처 및 처리 목적
수집 출처: 주식회사 위버스컴퍼니
처리 목적: 멤버십 회원 인증 및 티켓 예매 업무 수행

개인정보의 처리정지 및 동의철회 요청 방법
개인정보 처리정지 및 동의철회는 멜론/멜론티켓 고객센터를 통해 요청하실 수 있습니다.
단, 개인정보의 처리정지 및 동의철회 요구 시 해당 공연 참여가 취소될 수 있습니다.

감사합니다.",0
58,"제목없음
[Web발신]
[사회봉사-인증제] 2024-2학기 사회봉사인증제 안내

1. 사회봉사인증제 자세한 내용은 스노위 공지사항 참조
Snowe > 공지사항 > 102427 [사회봉사]2024-2학기 사회봉사인증제 안내 / https://snowe.sookmyung.ac.kr/bbs5/boards/notice/1186561

2. 다음학기 학업우수장학금 수혜를 위한 이번학기 필요 봉사시간 조회 방법 :
숙명포털 > 학사 > 사회봉사 > 사회봉사인증제 > 우수장학금 수혜기준 봉사실적 현황(신)

3. 봉사활동 인정기간 : 2024. 06. 22(토) ~ 2024. 12. 21(토)

4. 증빙서류 제출
- 게시일로부터 ~ 2024. 12. 27(금) 오전 11시까지
- 이메일 제출(sk9665@sm.ac.kr)
* 메일 보낸 이후 3~4일 이내에 승인 관련 회신 메일을 받지 못했을 경우 재확인 필수이며, 마감일까지 회신 없을 경우 학생 과실",0
59,"제목없음
[Web발신]
[ 설문조사 마감 ] 
2025 교육과정 개편 '학생 만족도 조사'

안녕하세요, 학과 사무실입니다. 

뜨거운 성원 덕분에 마감 예정 보다 일찍  마감하게 되었습니다.  
당첨되신 15분께는 학사팀에서 개별 연락 예정입니다.  확인 부탁드립니다. 
감사합니다. 

학과 조교 올림",0
60,"(광고)[배달의민족]1만원 쿠폰 넣어드렸어요
[Web발신]
(광고)[배달의민족]1만원 쿠폰 넣어드렸어요

★1O,OOO원★쿠폰이 쿠폰함에 도착했어요!
※ 9월 15일(일)까지 사용 가능

▼첫주문 혜택 3종▼
혜택1.  고객님께만 넣어드린 첫주문 1만원 쿠폰
혜택2. 한 달 동안 배달비가 0원!
혜택3. 9월 한정 인기상품 100원부터

▼첫주문특가 구경하기▼
고메 소바바치킨 소이허니 순살  9,990원 -> 990원
켈로그 첵스초코 8,390원 -> 100원
https://baeminkr.onelink.me/XgL8/hp4601tx

B마트로 장보고 1시간 이내
빠르게 배달 받아보세요 :D


무료수신거부 : 0808880219",0
61,"제목없음
[Web발신]
(모집중) 2024 퀄컴연구소 (샌디에이고) 해외연수 프로그램 (~11.13.까지)

안녕하세요. 소중대사업단입니다.
샌디에이고의 퀄컴연구소 해외연수 프로그램 참가자를 모집하고 있습니다.
내일까지 서류모집이니 많은 지원과 관심 바랍니다!!

*신청페이지: 비교과프로그램(WISE)
https://wise.sookmyung.ac.kr/ko/program/all/view/5332

----------------------------------------
2024 퀄컴연구소 (샌디에이고) 해외연수 프로그램
- 대상: SW참여학과
- 기간: 25. 1.8.(수)~2.16.(일)
- 신청기한: 11. 13. (수)까지

문의 02-2077-7014",0
62,"[펫케어] 개인정보 이용내역 통지 안내
[Web발신]
[펫케어] 개인정보 이용내역 통지 안내

안녕하세요. 펫케어입니다.
펫케어를 이용해주신 고객님께 진심으로 감사드립니다.

개인정보법보호법 제 20 조의 2(개인정보 이용,제공내역의 통지)에 따라
연 1회 정기적으로 회원님의 개인정보이용내역을 안내해드리고 있습니다.

▶개인정보 이용내역 확인하기
https://thepetcare.kr/privacy/skXUXDJlKn

문자메세지에 대한 수신거부는 URL 클릭 후
수신거부버튼을 클릭해주시기 바랍니다.

자세한 내용은 고객센터(1522-0636)로 문의바랍니다.
",0
63,"[KT 안내] 카드배송원 사칭 보이스피싱 주의 안내
[Web발신]
[KT 안내] 카드배송원 사칭 보이스피싱 주의 안내

경찰청 ｢ 전기통신금융사기 통합신고대응센터 ｣ 에서 알려드립니다.
▶ 최근 ‘카드배송원’을 사칭하는 수법에 의한 피해가 많습니다.
▶ 주로 00카드가 발급되었다는 내용의 전화로 접근하여 가짜 고객 센터 번호를 알려주는 것으로 범행이 시작됩니다.
▶ 가짜 번호로 전화한 이후에는 치밀한 시나리오에 따라 피해로 이어질 가능성이 높습니다.
▶ 자신이 신청하지 않은 카드발급과 관련된 전화를 받은 경우 상대방이 알려주는 번호로 전화하지 마시고, 전화를 끊은 후 카드사대표번호로 문의하시기 바랍니다.
⇒> 보이스피싱 의심 제보는 ‘112’ 또는 www.counterscam112.go.kr/ScamAlert.html

감사합니다.",0
64,"[한국모바일인증(주)]본인확인 인증번호[062080]입니다. ""타인 노출 금지""",0
65,"[80명 당첨] 3만 포인트 뽑기
[Web발신]
(광고) 지그재그

이 메시지를 받았다면 뽑기 대상자예요!

▶오늘의 행운 뽑기
: zigzag://open/simple_browser?url=https%3A%2F%2Fstore.zigzag.kr%2Fevents%2F9da13d14-81a8-4133-ae14-c1015de01ac0%235Be0Ljni&features=ct,home

----------------------------------------------------
*본 메시지는 2025-05-15 기준 광고성 SMS 수신을 동의한 직잭러 대상으로 발송되었습니다.

무료거부 0808100141
인증 250239",0
66,"선착순 30만좌 신한 모두의 적금 출시안내
[Web발신]
(광고)[신한은행][상품안내]
소득 있는 모두를 위하여
최고 연 7% 신한 『모두의 적금』 출시!
선착순 30만좌로 놓치지 말고 가입하세요!
★최저 연 2.5% ~ 최고 연 7% (12개월 세전, 25.4.22 기준) 

☞ 『모두의 적금』 가입하러 가기
https://me.shinhan.com/Be9luhin

▶가입대상 : 실명의 개인 (1인1계좌)  
▶가입기간 : 6개월, 12개월
▶가입한도 : 30만좌 (선착순 한도 소진 시 종료)
▶저축한도: 월 30만원 이하 자유롭게 적립가능
▶최고이자율 (´25.04.22 현재, 세전) : 연 6.50%(6개월), 연 7.00% (12개월)
▶기본이자율 (´25.04.22 현재, 세전) : 연 2.00%(6개월), 연 2.50% (12개월)
▶우대요건 (최대 연 4.5%)
① 소득 입금 : 급여, 가맹점 매출대금, 국민연금 입금 3개월 이상 연 1.50%
② 카드 결제: 신한카드...",0
67,"제목없음
[Web발신]
[커뮤니케이션팀] 2025 제27기 재학생 홍보모델 선발 안내

숙명여자대학교를 빛낼 '제27기 재학생 홍보모델'에 지원하세요!
우리 대학의 긍지와 자부심이 있고, 평소 학교 홍보에 관심이 있는 재학 중인 학부생 여러분의 많은 관심과 지원바랍니다.
감사합니다.

자세히 보기:
https://www.sookmyung.ac.kr/kr/news/event.do?mode=view&articleNo=88931",0
68,"열차 지연 운행 알림
[Web발신]
2025-03-02 부산역에서 18:29에 출발하는 새마을 1012열차는 신호대기 및 선로안정화구간 서행 등으로 약 18분 지연 운행 중입니다. 

열차의 지연시간은 운행상황에 따라 변동(단축 또는 증가)될 수 있으니 이용고객님은 코레일톡, 역사 전광판 등을 참고하시기 바랍니다.

열차 이용에 불편을 드려 죄송합니다.

  - 한국철도공사 -",0
69,"다비치안경체인 안내
[Web발신]
(광고)다비치안경체인

(광고)다비치안경, Last Summer Festa
뜨거운 여름에도 열심히 사는 너를 응원해! (08.01~08.31)

♡ 컬러렌즈 페스타
다비치렌즈 3일 착용 3DAY 컬러렌즈 근시·난시 모두 1+1! (일부상품 제외)
1팩(20P)+1팩(20P) → 근시 38,000원·난시 53,000원

♡ 투명렌즈 페스타
쿠퍼비전 클래리티 1DAY 근시 3팩 구매 시 1팩 더,
올리브영 기프티콘 1만원 추가 증정!
1팩(30P) 40,000원 → 21,000원(47% 할인)

♡ 알콘 데일리스 토탈원 1DAY 난시 1팩 구매 시,
올리브영 기프티콘 5천원 추가 증정!
1팩(30P) 69,000원 → 45,000원(35% 할인)

▶ 더 많은 혜택을 보고 싶다면?
https://www.davichmarket.com/promotion/388

▶ 간편 예약을 통해 대기 시간 없이 빠르게 이용해보세요!
https://www.davichmarket.com/davichstore


 무료수신거부0808800389",0
70,"[Web발신]
[국세청]현금영수증 발급수단(휴대전화번호)을 홈택스나 ARS(126)로 등록바랍니다",0
71,"[국외발신]
개인정보 보호법 제20조의2에 따라, Meta 개인정보처리방침을 검토하실 수 있습니다. https://fb.me/FSKn",1
72,"오늘부터 콘서트다!
[Web발신]
(광고) [예스24] 
11월21일부터 청년문화예술패스로 콘서트도 관람 가능한걸 아시나요?!
[청년패스]가 붙어있는 콘서트 상품은 청년문화예술패스 상품권 사용 가능!
보고 싶었던 콘서트를 지금 바로 예매하세요!

https://c.yes24.com/m/GAneN4wc5w0*

무료수신거부 0808635656",0
73,"(광고)[KT제휴] 정관장 환절기 행사 안내
[Web발신]
(광고)[KT제휴] 정관장 환절기 행사 안내

■ 행사기간 : 9.27(금) ~ 10.6(일)

■ 행사내용

❤ 회원전용 
① 홍삼정(240g) 5% 할인 + 1만포인트
② 홍삼정 패밀리세트 2개 구매 시, 5% 할인 + 1만포인트
③ 에브리타임 아웃도어 10% 할인

❤ 근처 정관장 매장을 확인하세요 
https://kturl.kr/09&RmtqZfzMFhZO96558

KT와 함께해주셔서 감사합니다. 

무료 수신거부: 080-400-0114

[KT]",0
74,"[국외발신]
비밀번호가 변경되었습니다. 회원님께서 변경한 것이 아닌 경우 계정 관리 페이지를 방문해주세요.

- Battle.net",1
75,"[국외발신]
의심스러운 활동이 감지되어 계정이 잠금 처리되었습니다. 계정 관리 페이지를 방문해주세요.

- Battle.net",1
